Session year,Term type,term number,department,course number,course name,course description,item_type,section number,weekday,time start,time end
2025,winter,1,COSC,COSC 121,Introduction to Programming,Fundamentals of programming using Python,lecture,001,Monday,08:00,09:30
2025,winter,1,COSC,COSC 121,Introduction to Programming,Fundamentals of programming using Python,lecture,001,Wednesday,08:00,09:30
2025,winter,1,COSC,COSC 121,Introduction to Programming,Fundamentals of programming using Python,lecture,001,Friday,08:00,09:30
2025,winter,1,COSC,COSC 121,Introduction to Programming Lab,Hands-on programming exercises,lab,L01,Tuesday,14:00,17:00
2025,winter,1,COSC,COSC 121,Introduction to Programming Tutorial,Problem-solving and debugging sessions,tutorial,T01,Thursday,10:00,11:00
2025,winter,2,COSC,COSC 122,Data Structures and Algorithms,Introduction to data structures and algorithm design,lecture,001,Tuesday,09:00,10:30
2025,winter,2,COSC,COSC 122,Data Structures and Algorithms,Introduction to data structures and algorithm design,lecture,001,Wednesday,09:00,10:30
2025,winter,2,COSC,COSC 122,Data Structures and Algorithms,Introduction to data structures and algorithm design,lecture,001,Thursday,09:00,10:30
2025,winter,2,COSC,COSC 122,Data Structures and Algorithms Lab,Implementation of data structures and algorithms,lab,L01,Friday,13:00,16:00
2025,winter,2,COSC,COSC 122,Data Structures and Algorithms Tutorial,Algorithm analysis and optimization,tutorial,T01,Monday,15:00,16:00
2025,winter,1,MATH,MATH 100,Differential Calculus with Applications,Introduction to differential calculus,lecture,001,Monday,10:00,11:30
2025,winter,1,MATH,MATH 100,Differential Calculus with Applications,Introduction to differential calculus,lecture,001,Wednesday,10:00,11:30
2025,winter,1,MATH,MATH 100,Differential Calculus with Applications,Introduction to differential calculus,lecture,001,Friday,10:00,11:30
2025,winter,1,MATH,MATH 100,Differential Calculus Tutorial,Problem-solving sessions for calculus,tutorial,T01,Tuesday,11:00,12:00
2025,winter,2,MATH,MATH 101,Integral Calculus with Applications,Introduction to integral calculus,lecture,001,Tuesday,11:00,12:30
2025,winter,2,MATH,MATH 101,Integral Calculus with Applications,Introduction to integral calculus,lecture,001,Thursday,11:00,12:30
2025,winter,2,MATH,MATH 101,Integral Calculus Tutorial,Integration techniques and applications,tutorial,T01,Friday,11:00,12:00
2025,winter,1,PHYS,PHYS 111,Mechanics and Thermodynamics,Classical mechanics and thermodynamics principles,lecture,001,Monday,13:00,14:30
2025,winter,1,PHYS,PHYS 111,Mechanics and Thermodynamics,Classical mechanics and thermodynamics principles,lecture,001,Wednesday,13:00,14:30
2025,winter,1,PHYS,PHYS 111,Mechanics and Thermodynamics,Classical mechanics and thermodynamics principles,lecture,001,Friday,13:00,14:30
2025,winter,1,PHYS,PHYS 111,Mechanics and Thermodynamics Lab,Physics laboratory experiments,lab,L01,Tuesday,15:00,18:00
2025,winter,2,PHYS,PHYS 112,Electricity and Magnetism,Electromagnetic theory and applications,lecture,001,Monday,14:00,15:30
2025,winter,2,PHYS,PHYS 112,Electricity and Magnetism,Electromagnetic theory and applications,lecture,001,Wednesday,14:00,15:30
2025,winter,2,PHYS,PHYS 112,Electricity and Magnetism,Electromagnetic theory and applications,lecture,001,Friday,14:00,15:30
2025,winter,2,PHYS,PHYS 112,Electricity and Magnetism Lab,Electromagnetic experiments and measurements,lab,L01,Thursday,15:00,18:00
2025,winter,1,STAT,STAT 201,Introduction to Statistics,Descriptive and inferential statistics fundamentals,lecture,001,Tuesday,08:00,09:30
2025,winter,1,STAT,STAT 201,Introduction to Statistics,Descriptive and inferential statistics fundamentals,lecture,001,Thursday,08:00,09:30
2025,winter,1,STAT,STAT 201,Introduction to Statistics Tutorial,Statistical problem-solving and analysis,tutorial,T01,Friday,09:00,10:00
2025,winter,2,STAT,STAT 202,Applied Statistics,Applied statistical methods and data analysis,lecture,001,Monday,09:00,10:30
2025,winter,2,STAT,STAT 202,Applied Statistics,Applied statistical methods and data analysis,lecture,001,Wednesday,09:00,10:30
2025,winter,2,STAT,STAT 202,Applied Statistics Lab,Statistical software and data analysis,lab,L01,Friday,14:00,17:00
2025,winter,1,ASTR,ASTR 101,Introduction to Astronomy,Solar system planets stars and galaxies,lecture,001,Monday,11:00,12:30
2025,winter,1,ASTR,ASTR 101,Introduction to Astronomy,Solar system planets stars and galaxies,lecture,001,Wednesday,11:00,12:30
2025,winter,1,ASTR,ASTR 101,Introduction to Astronomy,Solar system planets stars and galaxies,lecture,001,Friday,11:00,12:30
2025,winter,1,ASTR,ASTR 101,Introduction to Astronomy Lab,Observational astronomy and telescope use,lab,L01,Thursday,19:00,22:00
2025,winter,2,ASTR,ASTR 102,Stellar Astronomy,Stellar structure evolution and classification,lecture,001,Tuesday,12:00,13:30
2025,winter,2,ASTR,ASTR 102,Stellar Astronomy,Stellar structure evolution and classification,lecture,001,Thursday,12:00,13:30
2025,winter,1,DATA,DATA 101,Introduction to Data Science,Data collection analysis and interpretation,lecture,001,Monday,15:00,16:30
2025,winter,1,DATA,DATA 101,Introduction to Data Science,Data collection analysis and interpretation,lecture,001,Wednesday,15:00,16:30
2025,winter,1,DATA,DATA 101,Introduction to Data Science,Data collection analysis and interpretation,lecture,001,Friday,15:00,16:30
2025,winter,1,DATA,DATA 101,Introduction to Data Science Lab,Data analysis with programming tools,lab,L01,Tuesday,13:00,16:00
2025,winter,2,DATA,DATA 201,Database Systems,Database design and query languages,lecture,001,Tuesday,14:00,15:30
2025,winter,2,DATA,DATA 201,Database Systems,Database design and query languages,lecture,001,Thursday,14:00,15:30
2025,winter,2,DATA,DATA 201,Database Systems Lab,Database implementation and optimization,lab,L01,Monday,16:00,19:00
